room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
9480267,1461,49139391,Shared room,,Kenya,,Nakuru,0,0.0,10,1.0,,20.0,,stay with kenyan family.,2017-07-23 04:58:24.003295,-0.28726,36.079051,0101000020E6100000A9DBD9571E0A4240C3BB5CC47762D2BF
7555458,1461,39602036,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,25.0,,Comfortable Home Stay - Nairobi,2017-07-23 04:58:22.171668,-1.322562,36.837076,0101000020E61000001D226E4E256B4240EAEA8EC53629F5BF
15956813,1461,75728293,Shared room,,Kenya,,Mombasa,0,0.0,2,1.0,,24.0,,Secure and prime location,2017-07-23 04:58:22.161357,-4.030981,39.711306,0101000020E61000006BB933130CDB43408330B77BB91F10C0
14618968,1461,90745088,Shared room,,Kenya,,Nairobi,0,0.0,4,1.0,,12.0,,COMFORTABLE AND  COZY APARTMENT,2017-07-23 04:58:22.159274,-1.249562,36.937091,0101000020E61000001F300F99F27742408C3045B934FEF3BF
11391945,1461,59762616,Shared room,,Kenya,,Kajiado,0,0.0,2,1.0,,18.0,,stay in a family home in O/Rongai,2017-07-23 04:58:22.151487,-1.395242,36.73535,0101000020E61000008A8EE4F21F5E424012178046E952F6BF
13312109,1461,70814174,Shared room,,Kenya,,Nairobi,3,5.0,8,1.0,,12.0,,KIJANI SANCTUARY FOR GLOBE TROTTERS!!!,2017-07-23 04:58:22.148856,-1.260536,36.808306,0101000020E61000008E942D9276674240F8E3F6CB272BF4BF
18301695,1461,91943486,Shared room,,Kenya,,Kilifi,0,0.0,2,1.0,,35.0,,Swahili beach rooms with rooftop view,2017-07-23 04:58:22.146892,-3.368918,39.995125,0101000020E61000004C37894160FF4340EE3EC7478BF30AC0
12300614,1461,66314418,Shared room,,Kenya,,Nairobi,0,0.0,1,1.0,,40.0,,"Charming Spac,Nice Estate Near City",2017-07-23 04:58:22.144304,-1.300387,36.767615,0101000020E6100000A375543541624240FD4B529962CEF4BF
17600257,1461,119606745,Shared room,,Kenya,,Laikipia,0,0.0,2,1.0,,30.0,,Old Style 3 Beedroom Apartment,2017-07-23 04:58:22.142091,0.027704,37.089079,0101000020E610000054E1CFF0668B42400EA0DFF76F5E9C3F
12865013,1461,70318967,Shared room,,Kenya,,Nairobi,0,0.0,1,1.0,,10.0,,Comfortable Bedsitter,2017-07-23 04:58:22.139454,-1.242286,36.761122,0101000020E6100000102219726C6142406075E44867E0F3BF
14063994,1461,84426744,Shared room,,Kenya,,Nyeri,0,0.0,16,1.0,,10.0,,Guest House/ Hostel in Nyeri Town,2017-07-23 04:58:22.137364,-0.391658,36.962948,0101000020E6100000D2DF4BE1417B424087DF4DB7EC10D9BF
11598024,1461,61217388,Shared room,,Kenya,,Kajiado,0,0.0,1,1.0,,15.0,,Quiet slopes of Ngong Hills,2017-07-23 04:58:22.135401,-1.403569,36.667713,0101000020E6100000990E9D9E77554240ECDE8AC40475F6BF
11400494,1461,59839416,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,25.0,,Nyayo Embakasi,2017-07-23 04:58:22.132808,-1.308195,36.909108,0101000020E61000001844A4A65D744240CAA65CE15DEEF4BF
11460954,1461,38815617,Shared room,,Kenya,,Nairobi,0,0.0,6,1.0,,15.0,,Happy Days.,2017-07-23 04:58:22.130313,-1.267102,36.915163,0101000020E61000002FC1A90F247542409A232BBF0C46F4BF
14920891,1461,93780204,Shared room,,Kenya,,Nairobi,0,0.0,1,1.0,,10.0,,Kinyua-Nairobi,2017-07-23 04:58:22.128248,-1.225277,36.92039,0101000020E610000060C8EA56CF754240E7A7380EBC9AF3BF
11028362,1461,57224526,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,20.0,,AURA,2017-07-23 04:58:20.730741,-1.296075,36.788909,0101000020E6100000914259F8FA644240789CA223B9BCF4BF
11144742,1461,50882661,Shared room,,Kenya,,Nairobi,0,0.0,1,1.0,,11.0,,Simple and homely 1bedroom apartmen,2017-07-23 04:58:20.725676,-1.218964,36.900517,0101000020E6100000FB3E1C244473424081053065E080F3BF
17948949,1461,122326429,Shared room,,Kenya,,Nairobi,0,0.0,8,1.0,,35.0,,SPURWING GUEST HOUSE LIMITED,2017-07-23 04:58:20.723013,-1.313918,36.697965,0101000020E61000005760C8EA56594240FB027AE1CE05F5BF
1013668,1461,5576213,Shared room,,Kenya,,Nairobi,5,5.0,2,1.0,,10.0,,Peaceful Garden,2017-07-23 04:58:20.718348,-1.221666,36.863917,0101000020E6100000AEBA0ED5946E42408429CAA5F18BF3BF
11001286,1461,57087989,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,25.0,,city center accomodation,2017-07-23 04:58:20.715300,-1.290211,36.806774,0101000020E6100000ADA1D45E4467424003081F4AB4A4F4BF
12013587,1461,64155191,Shared room,,Kenya,,Nairobi,1,0.0,2,1.0,,20.0,,Cheerful family in a TRM apartments,2017-07-23 04:58:20.712355,-1.218496,36.889374,0101000020E6100000D3F4D901D7714240B8E864A9F57EF3BF
8380281,1461,44163602,Shared room,,Kenya,,Nairobi,0,0.0,1,1.0,,12.0,,Travelers heaven for grab,2017-07-23 04:58:20.709346,-1.305316,36.773438,0101000020E6100000E8BD310400634240EA20AF0793E2F4BF
14112484,1461,84085202,Shared room,,Kenya,,Kiambu,0,0.0,1,1.0,,20.0,,Private Room in the cool Neighbourhood of Muthiga,2017-07-23 04:58:20.703698,-1.251878,36.684128,0101000020E610000092239D81915742406A4FC939B107F4BF
11664521,1461,61917367,Shared room,,Kenya,,Kiambu,0,0.0,2,1.0,,17.0,,Living room for hire!,2017-07-23 04:58:20.696478,-1.202814,36.838491,0101000020E6100000C37E4FAC536B424030BC92E4B93EF3BF
17403408,1461,23919563,Shared room,,Kenya,,Nakuru,0,0.0,6,1.0,,11.0,,Grala,2017-07-23 04:58:20.693868,-0.284894,36.101616,0101000020E61000000B60CAC0010D424068E7340BB43BD2BF
3929385,1461,20356519,Shared room,,Kenya,,Nairobi,1,0.0,3,1.0,,10.0,,Clean Secure Home-Accesible24Hrs ,2017-07-23 04:58:20.689070,-1.2188,36.889749,0101000020E61000000953944BE371424039D6C56D3480F3BF
19188037,1461,123554273,Shared room,,Kenya,,Nairobi,0,0.0,1,1.0,,18.0,,Red junction apartments,2017-07-23 04:58:19.092453,-1.297932,36.755044,0101000020E610000040852348A5604240F3E8465854C4F4BF
17072412,1461,59895185,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,25.0,,"Lovely Double room, in Lovely home",2017-07-23 04:58:19.089943,-1.326065,36.774244,0101000020E6100000E78F696D1A63424081ECF5EE8F37F5BF
17218370,1461,115889141,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,20.0,,"Spacious Double room, in lovely Home",2017-07-23 04:58:19.082743,-1.326902,36.776221,0101000020E6100000F5BBB0355B634240AEF36F97FD3AF5BF
11425187,1461,23989443,Shared room,,Kenya,,Kiambu,0,0.0,2,1.0,,20.0,,"Lovely, spacious, and accommodating",2017-07-23 04:58:19.077202,-1.168488,36.955571,0101000020E6100000C5008926507A4240904B1C7920B2F2BF
4617284,1461,23919563,Shared room,,Kenya,,Nakuru,0,0.0,4,1.0,,18.0,,Outer toilet in the corridor,2017-07-23 04:58:19.068430,-0.290722,36.15181,0101000020E6100000569A94826E134240D5928E72309BD2BF
